Region,MonthDate,HPIndex
East Midlands,31/10/2010,307.5528
East Midlands,31/01/2011,307.746
East Midlands,30/04/2011,308.3583
East Midlands,31/07/2011,308.5298
East Midlands,31/10/2011,309.6061
East Midlands,31/01/2012,308.6614
East Midlands,30/04/2012,307.877
East Midlands,31/07/2012,304.7418
East Midlands,31/10/2012,306.8755
East Midlands,31/01/2013,309.9349
East Midlands,30/04/2013,312.5221
East Midlands,31/07/2013,320.0328
East Midlands,31/10/2013,325.4798
East Midlands,31/01/2014,332.184
East Midlands,30/04/2014,338.6245
East Midlands,31/07/2014,344.8053
East Midlands,31/10/2014,344.6678
East Midlands,31/01/2015,352.1317
East Midlands,30/04/2015,352.784
East Midlands,31/07/2015,351.5224
East Midlands,31/10/2015,357.0005
East Midlands,31/01/2016,360.2465
East Midlands,30/04/2016,367.2553
East Midlands,31/07/2016,370.0119
East Midlands,31/10/2016,374.3841
East Midlands,31/01/2017,378.3668
East Midlands,30/04/2017,382.465
East Midlands,31/07/2017,388.8072
East Midlands,31/10/2017,391.6256
East Midlands,31/01/2018,395.3029
East Midlands,30/04/2018,399.626
East Midlands,31/07/2018,407.4453
East Midlands,31/10/2018,407.3284
East Midlands,31/01/2019,405.4573
East Midlands,30/04/2019,407.6293
East Midlands,31/07/2019,409.1358
East Midlands,31/10/2019,409.1865
East Midlands,31/01/2020,420.0793
East Midlands,30/04/2020,413.6177
Greater London,31/10/1973,19.287
Greater London,31/01/1974,19.3768
Greater London,30/04/1974,19.7002
Greater London,31/07/1974,19.8312
Greater London,31/10/1974,19.8459
Greater London,31/01/1975,20.0868
Greater London,30/04/1975,20.5369
Greater London,31/07/1975,20.9515
Greater London,31/10/1975,21.5272
Greater London,31/01/1976,21.9586
Greater London,30/04/1976,22.0847
Greater London,31/07/1976,22.4094
Greater London,31/10/1976,22.7968
Greater London,31/01/1977,23.3237
Greater London,30/04/1977,23.372
Greater London,31/07/1977,23.7356
Greater London,31/10/1977,24.4361
Greater London,31/01/1978,25.9035
Greater London,30/04/1978,27.3574
Greater London,31/07/1978,30.6917
Greater London,31/10/1978,32.6359
Greater London,31/01/1979,35.1467
Greater London,30/04/1979,38.5042
Greater London,31/07/1979,41.0705
Greater London,31/10/1979,44.569
Greater London,31/01/1980,44.9547
Greater London,30/04/1980,45.6067
Greater London,31/07/1980,45.6404
Greater London,31/10/1980,45.8975
Greater London,31/01/1981,46.053
Greater London,30/04/1981,46.2801
Greater London,31/07/1981,46.8532
Greater London,31/10/1981,45.9197
Greater London,31/01/1982,47.016
Greater London,30/04/1982,47.6285
Greater London,31/07/1982,48.3154
Greater London,31/10/1982,50.0567
Greater London,31/01/1983,51.5753
Greater London,30/04/1983,54.1182
Greater London,31/07/1983,56.729
Greater London,31/10/1983,58.4266
Greater London,31/01/1984,61.8148
Greater London,30/04/1984,64.2879
Greater London,31/07/1984,65.6644
